ARQUIVO,FALHA
/home/guilherme/dennis/logs/maven-Spring-Integration-in-Action-siia-examples-flight-booking-.txt,"shouldEnrichHeaderAndSendMessageForRelatedTrips(siia.booking.integration.FlightNotificationsSpelTest)  Time elapsed: 0.02 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-Spring-Integration-in-Action-siia-examples-flight-booking-.txt,"shouldEnrichHeaderAndSendMessageForRelatedTrips(siia.booking.integration.FlightNotificationsTest)  Time elapsed: 0.01 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-Spring-Integration-in-Action-siia-examples-flight-booking-integration-.txt,"shouldEnrichHeaderAndSendMessageForRelatedTrips(siia.booking.integration.FlightNotificationsSpelTest)  Time elapsed: 0.023 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-Spring-Integration-in-Action-siia-examples-flight-booking-integration-.txt,"shouldEnrichHeaderAndSendMessageForRelatedTrips(siia.booking.integration.FlightNotificationsTest)  Time elapsed: 0.007 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-Spring-Integration-in-Action-siia-examples-messages-channels-.txt,"testChannels(siia.channels.ChannelsBridgeTest)  Time elapsed: 0.093 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-Spring-Integration-in-Action-siia-examples-trip-diary-.txt,"filenameShouldContainTodaysDate(com.manning.siia.trip.diary.ChangeFileNameGeneratorTest)  Time elapsed: 0.094 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-actuator-docs-.txt,"beans(org.springframework.boot.actuate.hypermedia.HypermediaEndpointDocumentation)  Time elapsed: 0.01 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-actuator-docs-.txt,"metrics(org.springframework.boot.actuate.hypermedia.HypermediaEndpointDocumentation)  Time elapsed: 0.006 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-actuator-docs-.txt,"endpoints(org.springframework.boot.actuate.hypermedia.EndpointDocumentation)  Time elapsed: 0.005 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-actuator-docs-.txt,"partialLogfile(org.springframework.boot.actuate.hypermedia.EndpointDocumentation)  Time elapsed: 0.003 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-actuator-docs-.txt,"logfile(org.springframework.boot.actuate.hypermedia.EndpointDocumentation)  Time elapsed: 0.003 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-cli-.txt,"httpSample(org.springframework.boot.cli.SampleIntegrationTests)  Time elapsed: 2.309 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-cli-.txt,"reactorSample(org.springframework.boot.cli.SampleIntegrationTests)  Time elapsed: 1.865 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-cli-.txt,"dataJpaDependencies(org.springframework.boot.cli.ReproIntegrationTests)  Time elapsed: 1.538 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-cli-.txt,"integrationAutoConfigTest(org.springframework.boot.cli.TestCommandIntegrationTests)  Time elapsed: 2.383 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"nonJavaExecRunTaskIsIgnored(org.springframework.boot.gradle.MainClassTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[0](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.085 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[0](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[1](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[1](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[2](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[2](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[3](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[3](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.165 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[4](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[4](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[5](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[5](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[6](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[6](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[7](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[7](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[8](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.039 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[8](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.043 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[9](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.066 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[9](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[10](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[10](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[11](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[11](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[12](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[12](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[13](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[13](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[14](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.063 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[14](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[15](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[15](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[16](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[16](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[17](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[17](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[18](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[18](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[19](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[19](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.068 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[20](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[20](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[21](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[21](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[22](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[22](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[23](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[23](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[24](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[24](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[25](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[25](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.057 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[26](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[26](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[27](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[27](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[28](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[28](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[29](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[29](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[30](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[30](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.06 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[31](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[31](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[32](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[32](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
