ARQUIVO,FALHA
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[33](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[33](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[34](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.043 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[34](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[35](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[35](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[36](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.053 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[36](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[37](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[37](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[38](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[38](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[39](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[39](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.062 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[40](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[40](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.033 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[41](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[41](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.051 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[42](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[42](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[43](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[43](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[44](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[44](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[45](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.058 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[45](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.056 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[46](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.047 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[46](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.064 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"nonJavaExecRunTaskIsIgnored(org.springframework.boot.gradle.MainClassTests)  Time elapsed: 0.125 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[0](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.045 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[0](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.049 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[1](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.044 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[1](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.041 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[2](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[2](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[3](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.074 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[3](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[4](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[4](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.064 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[5](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.048 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[5](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[6](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[6](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[7](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.064 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[7](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.041 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[8](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.04 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[8](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.039 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[9](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.142 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[9](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.039 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[10](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[10](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[11](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.039 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[11](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[12](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[12](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.039 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[13](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[13](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.049 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[14](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.079 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[14](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.046 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[15](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[15](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[16](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[16](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[17](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.037 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[17](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[18](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[18](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[19](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.036 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[19](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.039 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[20](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.07 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[20](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[21](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.034 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[21](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[22](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.035 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[22](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.208 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[23](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.063 sec  <<< FAILURE!
"
